,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
257,2013,10,POR,CJ McCollum,Lehigh University,6,361,10621,6282,1085,1036,0.45399999999999996,0.40700000000000003,0.841,10621,17.4,3.0,2.9,23.8,0.10800000000000001,0.3,6.1
258,2013,11,PHI,Michael Carter-Williams,Syracuse University,6,298,8003,3333,1368,1409,0.401,0.251,0.701,8003,11.2,4.6,4.7,4.3,0.026000000000000002,-0.8,2.4
259,2013,12,OKC,Steven Adams,University of Pittsburgh,6,405,10474,3678,2875,376,0.5870000000000001,0.0,0.565,10474,9.1,7.1,0.9,32.2,0.14800000000000002,1.6,9.6
260,2013,13,DAL,Kelly Olynyk,Gonzaga University,6,372,7852,3645,1802,713,0.48100000000000004,0.369,0.7509999999999999,7852,9.8,4.8,1.9,21.0,0.128,1.5,7.0
261,2013,14,UTA,Shabazz Muhammad,"University of California, Los Angeles",5,278,4772,2504,770,151,0.473,0.319,0.7509999999999999,4772,9.0,2.8,0.5,8.5,0.085,-4.1,-2.5
262,2013,15,MIL,Giannis Antetokounmpo,,6,412,13503,7261,3193,1609,0.511,0.272,0.741,13503,17.6,7.8,3.9,42.1,0.15,3.6,19.0
263,2013,16,BOS,Lucas Nogueira,,4,141,1754,446,388,72,0.632,0.265,0.64,1754,3.2,2.8,0.5,6.0,0.165,4.8,3.0
264,2013,17,ATL,Dennis Schroder,,6,371,8913,4874,968,1773,0.433,0.32299999999999995,0.8290000000000001,8913,13.1,2.6,4.8,11.3,0.061,-1.6,0.8
265,2013,18,ATL,Shane Larkin,University of Miami,4,256,4880,1399,490,737,0.42200000000000004,0.336,0.777,4880,5.5,1.9,2.9,4.4,0.044000000000000004,-2.5,-0.6
266,2013,19,CLE,Sergey Karasev,,3,95,1110,287,140,87,0.395,0.282,0.8420000000000001,1110,3.0,1.5,0.9,0.8,0.036000000000000004,-3.1,-0.3
