,2P,2P%,2PA,3P,3P%,3PA,AST,Awards,BLK,Conf,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,Name,ORB,PF,PTS,SOS,STL,School,Season,TOV,TRB, 
218,6.1,0.604,10.1,0.2,0.32899999999999996,0.8,1.5,0,1.6,,5.3,6.4,0.585,10.9,3.2,0.7340000000000001,4.3,97,97,34.0,Patrick Patterson,2.9,2.1,16.1,6.24,0.7,Kentucky,['Career'],1.6,8.2,
219,2.0,0.504,3.9,0.0,0.0,0.0,0.1,0,3.0,CAA,3.6,2.0,0.504,3.9,1.0,0.456,2.1,32,16,16.6,Larry Sanders,1.6,2.8,4.9,-2.06,0.3,VCU,['2007-08'],0.8,5.2,
220,4.6,0.51,9.0,0.0,0.0,0.0,0.4,0,2.7,CAA,5.7,4.6,0.51,9.0,2.1,0.5579999999999999,3.8,34,34,26.6,Larry Sanders,2.9,3.6,11.3,-0.65,0.6,VCU,['2008-09'],2.1,8.6,
221,5.5,0.547,10.0,0.1,0.25,0.5,1.0,0,2.6,CAA,6.1,5.6,0.534,10.5,3.1,0.6409999999999999,4.8,35,32,26.9,Larry Sanders,3.0,2.9,14.4,0.64,0.7,VCU,['2009-10'],1.7,9.1,
222,4.1,0.526,7.7,0.0,0.25,0.2,0.5,0,2.7,,5.2,4.1,0.52,7.9,2.1,0.5770000000000001,3.6,101,82,23.5,Larry Sanders,2.5,3.1,10.3,-0.69,0.6,VCU,['Career'],1.5,7.7,
223,4.7,0.46299999999999997,10.2,1.0,0.429,2.3,1.4,,0.7,WAC,5.5,5.7,0.456,12.5,4.5,0.8640000000000001,5.2,34,34,32.6,Luke Babbitt,1.9,1.8,16.9,1.4,0.7,Nevada,['2008-09'],1.9,7.4,0
224,6.1,0.521,11.8,1.2,0.41600000000000004,3.0,2.1,WAC POY,0.8,WAC,6.9,7.4,0.5,14.8,5.9,0.917,6.4,34,34,37.1,Luke Babbitt,2.1,2.6,21.9,2.56,1.0,Nevada,['2009-10'],2.4,8.9,0
225,5.4,0.494,11.0,1.1,0.42100000000000004,2.6,1.8,,0.8,,6.2,6.5,0.48,13.6,5.2,0.893,5.8,68,68,34.9,Luke Babbitt,2.0,2.2,19.4,1.98,0.9,Nevada,['Career'],2.1,8.1,0
226,2.6,0.516,5.0,1.3,0.38299999999999995,3.5,2.9,0,0.3,SEC,2.6,3.9,0.462,8.4,2.2,0.667,3.3,37,35,30.3,Eric Bledsoe,0.5,2.2,11.3,6.82,1.4,Kentucky,['2009-10'],3.0,3.1,
227,2.6,0.516,5.0,1.3,0.38299999999999995,3.5,2.9,0,0.3,,2.6,3.9,0.462,8.4,2.2,0.667,3.3,37,35,30.3,Eric Bledsoe,0.5,2.2,11.3,6.82,1.4,Kentucky,['Career'],3.0,3.1,
228,3.4,0.457,7.5,1.2,0.375,3.3,2.1,0,0.5,Big 12,1.9,4.7,0.43200000000000005,10.8,1.1,0.545,1.9,34,32,29.5,Avery Bradley,1.0,2.4,11.6,7.38,1.3,Texas,['2009-10'],1.5,2.9,
229,3.4,0.457,7.5,1.2,0.375,3.3,2.1,0,0.5,,1.9,4.7,0.43200000000000005,10.8,1.1,0.545,1.9,34,32,29.5,Avery Bradley,1.0,2.4,11.6,7.38,1.3,Texas,['Career'],1.5,2.9,
