"","player","pos","age","tm","g","gs","mp","fg","fga","fg_pct","three_p","three_pa","three_p_pct","two_p","two_pa","two_p_pct","efg_pct","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","start_year","end_year"
"421","Steve Nash*","PG",36,"PHO",75,75,2497,399,811,0.492,81,205,0.395,318,606,0.525,0.542,227,249,0.912,40,220,260,855,48,4,265,87,1106,2010,2011
"422","Gary Neal","SG",26,"SAS",80,1,1685,285,632,0.451,129,308,0.419,156,324,0.481,0.553,84,104,0.808,21,175,196,96,27,4,78,148,783,2010,2011
"423","Jameer Nelson","PG",28,"ORL",76,76,2319,374,838,0.446,119,297,0.401,255,541,0.471,0.517,130,162,0.802,37,189,226,456,75,3,194,209,997,2010,2011
"424","Joakim Noah","C",25,"CHI",48,48,1576,211,402,0.525,0,1,0,211,401,0.526,0.525,139,188,0.739,182,316,498,107,48,72,90,156,561,2010,2011
"425","Andres Nocioni","SF",31,"PHI",54,17,931,118,277,0.426,42,118,0.356,76,159,0.478,0.502,49,61,0.803,19,150,169,45,14,15,47,100,327,2010,2011
"426","Steve Novak","SF",27,"TOT",30,0,215,35,67,0.522,26,46,0.565,9,21,0.429,0.716,8,8,1,4,24,28,3,1,5,4,14,104,2010,2011
"427","Steve Novak","SF",27,"DAL",7,0,18,4,8,0.5,3,4,0.75,1,4,0.25,0.688,0,0,NA,0,5,5,0,0,0,0,3,11,2010,2011
"428","Steve Novak","SF",27,"SAS",23,0,197,31,59,0.525,23,42,0.548,8,17,0.471,0.72,8,8,1,4,19,23,3,1,5,4,11,93,2010,2011
"429","Dirk Nowitzki","PF",32,"DAL",73,73,2504,610,1179,0.517,66,168,0.393,544,1011,0.538,0.545,395,443,0.892,50,463,513,190,38,47,137,172,1681,2010,2011
"430","Jermaine O'Neal","C",32,"BOS",24,10,431,50,109,0.459,0,1,0,50,108,0.463,0.459,29,43,0.674,25,63,88,12,2,30,27,65,129,2010,2011
"431","Shaquille O'Neal*","C",38,"BOS",37,36,752,134,201,0.667,0,0,NA,134,201,0.667,0.667,73,131,0.557,48,130,178,26,16,42,56,120,341,2010,2011
"432","Fabricio Oberto","C",35,"POR",5,0,45,3,5,0.6,0,0,NA,3,5,0.6,0.6,1,2,0.5,3,4,7,0,0,0,3,10,7,2010,2011
"433","Lamar Odom","PF",31,"LAL",82,35,2639,473,893,0.53,68,178,0.382,405,715,0.566,0.568,166,246,0.675,175,535,710,249,47,61,139,200,1180,2010,2011
"434","Emeka Okafor","C",28,"NOH",72,72,2287,300,524,0.573,0,1,0,300,523,0.574,0.573,145,258,0.562,230,454,684,42,40,127,119,230,745,2010,2011
"435","Mehmet Okur","C",31,"UTA",13,0,168,22,62,0.355,5,16,0.313,17,46,0.37,0.395,15,20,0.75,9,21,30,19,4,4,7,18,64,2010,2011
"436","Travis Outlaw","SF",26,"NJN",82,55,2358,274,731,0.375,76,252,0.302,198,479,0.413,0.427,132,171,0.772,54,271,325,84,34,36,71,148,756,2010,2011
"437","Larry Owens","SF",28,"TOT",12,0,143,15,32,0.469,6,13,0.462,9,19,0.474,0.563,4,9,0.444,1,14,15,8,9,5,5,18,40,2010,2011
"438","Larry Owens","SF",28,"SAS",7,0,31,3,6,0.5,1,3,0.333,2,3,0.667,0.583,2,4,0.5,0,4,4,1,2,0,0,4,9,2010,2011
"439","Larry Owens","SF",28,"WAS",5,0,112,12,26,0.462,5,10,0.5,7,16,0.438,0.558,2,5,0.4,1,10,11,7,7,5,5,14,31,2010,2011
