,Unnamed: 0,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Weight,Body Fat,Hand (Length),Hand (Width),drafted,athletic
86,86,Stanley Robinson,2010,59.0,78.5,79.75,84.0,107.5,213.0,8.3,9.0,9.0,1,0
87,87,Ekpe Udoh,2010,6.0,80.75,81.75,88.5,106.5,237.0,8.0,9.5,8.75,1,1
88,88,Greg Monroe,2010,7.0,81.75,83.0,86.25,108.5,247.0,11.2,8.75,9.5,1,1
89,89,Al-Farouq Aminu,2010,8.0,79.25,80.5,87.25,108.5,216.0,8.2,9.5,9.5,1,1
90,90,Gordon Hayward,2010,9.0,78.75,80.0,79.75,103.0,211.0,6.9,8.5,9.25,1,1
91,91,Artsiom Parakhouski,2010,99.0,82.25,83.75,85.0,109.5,268.0,6.0,9.0,10.5,0,1
92,92,Charles Garcia,2010,99.0,80.25,81.25,85.75,107.5,232.0,7.0,8.75,9.0,0,1
93,93,Jon Scheyer,2010,99.0,76.75,78.0,75.25,99.0,180.0,5.4,7.75,9.5,0,0
94,94,Manny Harris,2010,99.0,76.0,77.5,79.25,102.0,185.0,3.8,8.5,9.0,0,0
95,95,Mikhail Torrance,2010,99.0,76.0,77.29,78.75,101.75,207.0,6.6,8.75,9.5,0,1
96,96,Sherron Collins,2010,99.0,70.25,71.75,74.5,94.0,217.0,9.2,8.5,9.5,0,1
97,97,Sylven Landesberg,2010,99.0,76.75,78.25,81.0,100.5,210.0,11.6,8.75,10.75,0,1
98,98,Jimmer Fredette,2011,10.0,72.75,74.5,76.5,96.5,196.0,7.7,8.0,8.5,1,1
99,99,Klay Thompson,2011,11.0,77.75,79.25,81.0,103.5,206.0,8.0,8.75,9.25,1,1
100,100,Alec Burks,2011,12.0,77.0,78.0,82.0,103.5,193.0,5.1,9.0,8.25,1,1
101,101,Markieff Morris,2011,13.0,79.75,81.25,82.75,106.5,241.0,10.2,8.5,8.25,1,0
102,102,Marcus Morris,2011,14.0,79.0,80.75,82.0,105.5,230.0,8.0,8.25,8.5,1,0
103,103,Kawhi Leonard,2011,15.0,78.0,79.0,87.0,106.0,227.0,5.4,9.75,11.25,1,1
104,104,Nikola Vucevic,2011,16.0,82.25,83.75,88.5,112.5,260.0,6.1,9.25,10.25,1,1
105,105,Iman Shumpert,2011,17.0,76.25,77.5,81.5,99.5,222.0,6.5,9.0,9.0,1,1
106,106,Chris Singleton,2011,18.0,79.75,81.0,85.0,103.5,230.0,7.4,9.25,10.0,1,1
107,107,Tobias Harris,2011,19.0,78.5,79.75,83.0,103.5,223.0,8.4,8.75,9.0,1,1
108,108,Derrick Williams,2011,2.0,79.25,80.75,85.5,108.0,248.0,10.8,9.0,9.75,1,1
109,109,Nolan Smith,2011,21.0,73.5,75.5,77.5,99.0,188.0,5.6,8.5,9.25,1,1
110,110,Kenneth Faried,2011,22.0,78.0,79.5,84.0,108.0,225.0,6.3,8.5,10.25,1,1
111,111,Marshon Brooks,2011,25.0,76.25,77.25,85.0,101.0,195.0,5.2,9.0,10.5,1,1
112,112,Jordan Hamilton,2011,26.0,78.75,80.5,81.5,104.0,228.0,9.8,9.0,9.25,1,1
113,113,JaJuan Johnson (Purdue),2011,27.0,81.0,82.0,86.0,107.5,220.0,7.5,9.0,10.0,1,1
114,114,Norris Cole,2011,28.0,72.25,73.75,74.25,95.5,174.0,4.7,8.5,9.5,1,1
115,115,Cory Joseph,2011,29.0,74.0,75.25,77.5,99.0,186.0,9.7,8.5,10.5,1,1
116,116,Enes Kanter,2011,3.0,81.75,83.25,85.5,109.5,259.0,5.9,9.5,10.75,1,1
117,117,Jimmy Butler,2011,30.0,78.0,79.75,79.5,101.5,222.0,5.4,9.0,9.0,1,1
118,118,Justin Harper,2011,32.0,80.0,80.75,83.75,106.0,228.0,4.0,9.0,9.25,1,1
119,119,Kyle Singler,2011,33.0,79.5,80.5,82.1,106.0,228.0,10.0,8.25,8.75,1,1
120,120,Shelvin Mack,2011,34.0,73.0,74.5,79.5,96.5,209.0,7.1,8.25,9.25,1,1
