,index,Name,School,Conf,Season,SOS,G,GS,MP,PTS,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,FT,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%,year,last
728,989,Russ Smith,Louisville,Big East,2013,9.13,40,37,30.3,18.7,2.3,1.0,3.3,2.9,2.1,0.1,2.7,2.6,5.8,14.0,0.414,5.6,6.9,0.804,4.3,9.3,0.458,1.6,4.7,0.328,3,0
729,990,Russ Smith,Louisville,Big East,2014,4.79,37,36,29.3,18.2,2.5,0.8,3.3,4.6,2.0,0.1,2.8,2.5,6.1,13.0,0.468,4.1,5.9,0.705,4.2,8.1,0.517,1.9,4.9,0.387,4,1
730,992,Lamar Patterson,Pitt,Big East,2010,7.38,11,0,9.8,2.1,0.7,0.4,1.1,0.4,0.3,0.5,0.5,0.7,0.5,2.2,0.25,0.5,1.0,0.545,0.1,1.2,0.077,0.5,1.0,0.455,1,0
731,993,Lamar Patterson,Pitt,Big East,2011,7.85,32,0,12.5,2.6,0.9,1.1,2.0,1.3,0.4,0.2,0.8,1.1,0.9,2.6,0.341,0.6,0.9,0.69,0.6,1.4,0.435,0.3,1.1,0.222,2,0
732,994,Lamar Patterson,Pitt,Big East,2012,5.89,37,37,28.5,9.6,3.6,1.6,5.3,3.6,1.0,0.3,1.7,2.4,3.4,7.7,0.442,1.7,2.2,0.7709999999999999,2.3,5.0,0.459,1.1,2.7,0.41,3,0
733,995,Lamar Patterson,Pitt,Big East,2013,5.63,33,33,27.0,10.0,3.2,1.2,4.3,2.8,1.2,0.3,1.8,2.2,3.5,7.5,0.464,1.9,2.9,0.6559999999999999,2.4,4.2,0.565,1.1,3.3,0.336,4,0
734,996,Lamar Patterson,Pitt,Big East,2014,7.54,36,36,32.6,17.1,3.9,1.0,4.9,4.3,1.4,0.3,2.6,2.0,5.6,12.7,0.441,3.7,4.9,0.754,3.4,7.0,0.484,2.2,5.7,0.388,5,1
735,998,Cameron Bairstow,New Mexico,MWC,2011,4.9,31,1,9.7,2.6,1.0,0.8,1.8,0.2,0.2,0.3,0.5,1.5,1.1,1.8,0.6,0.4,0.7,0.591,1.0,1.7,0.604,0.0,0.1,0.5,1,0
736,999,Cameron Bairstow,New Mexico,MWC,2012,3.34,34,1,15.4,3.7,1.9,1.7,3.6,0.3,0.4,0.6,0.9,2.4,1.2,2.6,0.444,1.3,2.1,0.634,1.2,2.6,0.449,0.0,0.0,0.0,2,0
737,1000,Cameron Bairstow,New Mexico,MWC,2013,6.63,35,19,24.1,9.7,3.8,2.2,5.9,0.9,0.7,0.6,1.2,2.4,3.1,6.8,0.456,3.5,4.8,0.738,3.1,6.8,0.456,0.0,0.0,0.0,3,0
738,1001,Cameron Bairstow,New Mexico,MWC,2014,4.84,34,34,32.9,20.4,5.1,2.2,7.4,1.6,0.6,1.5,2.0,2.1,7.0,12.5,0.556,6.4,8.8,0.735,6.9,12.4,0.5579999999999999,0.0,0.1,0.333,4,1
739,1003,Alec Brown,Green Bay,Horizon,2011,2.17,32,32,25.1,10.2,3.6,2.0,5.6,0.4,0.4,2.1,1.5,2.8,3.6,7.3,0.489,2.9,3.9,0.746,3.5,7.2,0.493,0.1,0.2,0.333,1,0
740,1004,Alec Brown,Green Bay,Horizon,2012,1.04,30,29,31.3,13.8,5.1,3.1,8.2,0.8,0.9,3.0,2.0,2.7,5.1,11.3,0.456,3.4,4.4,0.7709999999999999,5.0,10.6,0.47,0.1,0.6,0.211,2,0
