,level_0,index,Name,School,Conf,Season,SOS,G,GS,MP,PTS,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,FT,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%,year,last
82,228,310,Devin Ebanks,West Virginia,Big East,2010,10.26,34,31,34.1,12.0,5.2,2.9,8.1,2.4,1.1,0.7,2.2,1.6,4.2,9.3,0.457,3.4,4.5,0.77,4.1,8.4,0.495,0.1,0.9,0.1,2,1
83,232,315,Jerome Jordan,Tulsa,CUSA,2010,2.84,35,35,29.8,15.4,6.7,2.4,9.1,1.3,0.5,2.3,2.3,2.8,5.3,9.6,0.5489999999999999,4.9,7.1,0.688,5.3,9.6,0.5489999999999999,0.0,0.0,0.0,4,1
84,235,319,Gani Lawal,Georgia Tech,ACC,2010,9.02,36,36,25.8,13.1,5.6,2.9,8.5,0.4,0.4,1.4,2.2,2.1,4.8,9.0,0.529,3.5,6.2,0.5720000000000001,4.8,9.0,0.531,0.0,0.0,0.0,3,1
85,236,321,Tiny Gallon,Oklahoma,Big 12,2010,7.79,30,21,24.0,10.3,5.2,2.8,7.9,0.8,0.7,0.8,2.3,2.8,4.1,7.4,0.547,2.1,3.0,0.6970000000000001,3.9,6.9,0.573,0.1,0.6,0.235,1,1
86,239,325,Solomon Alabi,Florida State,ACC,2010,6.79,32,32,25.6,11.7,3.7,2.5,6.2,0.5,0.6,2.3,1.9,2.3,4.2,7.8,0.534,3.4,4.3,0.794,4.2,7.8,0.534,0.0,0.0,0.0,3,1
87,243,330,Magnum Rolle,Louisiana Tech,WAC,2010,-0.4,34,33,30.1,13.9,4.9,3.5,8.4,0.8,0.8,2.1,2.0,2.8,5.6,10.8,0.514,2.7,4.1,0.66,5.6,10.8,0.514,0.0,0.0,0.0,4,1
88,247,335,Luke Harangody,Notre Dame,Big East,2010,6.22,30,25,33.0,21.8,6.9,2.2,9.1,1.6,0.5,0.7,1.8,2.3,8.1,16.9,0.481,4.7,5.9,0.787,7.3,14.2,0.514,0.8,2.7,0.309,4,1
89,249,338,Willie Warren,Oklahoma,Big 12,2010,7.79,21,19,32.3,16.3,2.6,0.7,3.3,4.1,1.0,0.0,3.8,2.3,5.0,11.5,0.438,4.8,6.0,0.795,3.6,6.9,0.524,1.4,4.6,0.309,2,1
90,253,343,Jeremy Evans,Western Kentucky,Sun Belt,2010,-2.18,34,34,26.5,10.0,3.9,3.0,6.9,0.7,0.8,1.8,1.1,2.9,4.0,6.2,0.649,1.9,2.7,0.688,3.9,5.9,0.6729999999999999,0.1,0.4,0.25,4,1
91,257,348,Hamady N'Diaye,Rutgers,Big East,2010,5.91,32,25,28.3,9.4,4.8,2.4,7.1,0.4,0.4,4.5,1.5,2.9,3.6,6.2,0.579,2.3,3.8,0.617,3.6,6.2,0.579,0.0,0.0,0.0,4,1
92,261,353,Ryan Reid,Florida State,ACC,2010,6.79,31,29,22.7,6.8,2.1,1.9,4.0,1.1,0.6,0.5,1.6,1.5,2.6,5.4,0.491,1.5,2.5,0.597,2.6,5.4,0.491,0.0,0.0,0.0,4,1
93,264,357,Derrick Caracter,UTEP,CUSA,2010,1.96,27,22,26.7,14.1,5.4,2.7,8.1,1.1,1.0,0.9,2.9,3.0,5.5,9.7,0.5670000000000001,3.0,4.4,0.672,5.3,9.1,0.585,0.1,0.6,0.267,3,1
94,268,362,Stanley Robinson,UConn,Big East,2010,9.15,34,34,34.2,14.5,5.0,2.7,7.6,1.0,0.9,1.2,2.3,1.5,6.0,11.4,0.525,1.8,2.9,0.629,5.2,9.1,0.5710000000000001,0.8,2.3,0.342,4,1
95,272,367,Dwayne Collins,Miami (FL),ACC,2010,7.01,29,28,24.7,12.0,4.8,2.9,7.8,1.2,0.6,1.1,2.4,2.3,4.4,7.3,0.604,3.1,5.5,0.569,4.4,7.3,0.604,0.0,0.0,0.0,4,1
96,273,369,Kyrie Irving,Duke,ACC,2011,8.31,11,8,27.5,17.5,2.8,0.5,3.4,4.3,1.5,0.5,2.5,2.1,5.0,9.5,0.529,5.8,6.5,0.901,3.4,5.9,0.569,1.6,3.5,0.462,1,1
97,277,374,Tristan Thompson,North Texas,Sun Belt,2011,-5.07,33,31,32.0,18.0,2.7,0.5,3.2,1.8,0.7,0.1,2.2,1.9,4.8,10.4,0.459,6.4,7.7,0.8340000000000001,2.8,5.6,0.495,2.0,4.8,0.418,4,1
98,278,376,Brandon Knight,Kentucky,SEC,2011,8.91,38,38,35.9,17.3,3.4,0.7,4.0,4.2,0.7,0.2,3.2,2.2,5.7,13.5,0.423,3.6,4.5,0.795,3.4,7.4,0.461,2.3,6.1,0.377,1,1
99,281,380,Kemba Walker,UConn,Big East,2011,10.44,41,41,37.6,23.5,4.1,1.3,5.4,4.5,1.9,0.2,2.3,1.4,7.7,18.0,0.428,6.3,7.7,0.8190000000000001,5.9,12.5,0.471,1.8,5.5,0.33,3,1
100,285,385,Jimmer Fredette,BYU,MWC,2011,5.76,37,37,35.8,28.9,2.8,0.6,3.4,4.3,1.3,0.0,3.5,1.3,9.4,20.7,0.452,6.8,7.6,0.894,6.0,12.2,0.491,3.4,8.5,0.396,4,1
101,288,389,Klay Thompson,Washington State,Pac-10,2011,6.81,34,33,34.7,21.6,4.5,0.7,5.2,3.7,1.6,0.9,3.4,2.9,7.1,16.2,0.436,4.6,5.4,0.838,4.2,9.0,0.466,2.9,7.2,0.398,3,1
102,290,392,Alec Burks,Colorado,Big 12,2011,5.61,38,37,31.4,20.5,4.1,2.4,6.5,2.9,1.1,0.3,2.6,2.3,6.6,14.1,0.469,6.6,7.9,0.825,5.9,11.6,0.508,0.7,2.5,0.292,2,1
103,293,396,Markieff Morris,Kansas,Big 12,2011,7.62,38,34,24.4,13.6,5.6,2.7,8.3,1.4,0.8,1.1,2.1,2.8,5.1,8.7,0.589,2.7,4.0,0.6729999999999999,4.5,7.2,0.625,0.7,1.6,0.424,3,1
104,296,400,Marcus Morris,Kansas,Big 12,2011,7.62,38,35,28.3,17.2,5.0,2.6,7.6,1.6,0.8,0.6,1.8,2.6,6.3,11.1,0.57,3.9,5.7,0.688,5.6,9.1,0.62,0.7,2.0,0.342,3,1
105,298,403,Kawhi Leonard,San Diego State,MWC,2011,6.36,36,36,32.6,15.5,7.5,3.1,10.6,2.5,1.4,0.6,2.1,2.5,5.9,13.2,0.444,3.1,4.0,0.759,5.2,10.8,0.478,0.7,2.4,0.29100000000000004,2,1
106,301,407,Nikola Vucevic,USC,Pac-10,2011,7.96,34,34,34.9,17.1,7.4,2.9,10.3,1.6,0.5,1.4,1.7,2.8,6.3,12.5,0.505,3.6,4.8,0.755,5.5,10.1,0.542,0.9,2.4,0.349,3,1
107,304,411,Iman Shumpert,Georgia Tech,ACC,2011,5.68,31,31,32.0,17.3,4.2,1.7,5.9,3.5,2.7,0.2,2.3,2.8,5.7,14.1,0.406,4.5,5.6,0.8059999999999999,4.4,9.2,0.474,1.4,4.9,0.278,3,1
108,307,415,Chris Singleton,Florida State,ACC,2011,6.45,28,25,29.1,13.1,4.8,2.1,6.8,1.2,2.0,1.5,2.2,3.2,4.4,10.2,0.434,3.0,4.5,0.667,3.2,6.8,0.466,1.3,3.4,0.368,3,1
109,308,417,Tobias Harris,Tennessee,SEC,2011,8.73,34,33,29.2,15.3,5.3,2.0,7.3,1.3,0.7,0.9,1.8,2.1,5.4,11.8,0.46,3.8,5.0,0.753,4.8,9.6,0.4970000000000001,0.7,2.2,0.303,1,1
110,312,422,Nolan Smith,Duke,ACC,2011,8.31,37,37,34.0,20.6,3.3,1.2,4.5,5.1,1.2,0.1,3.2,1.9,7.0,15.4,0.458,5.1,6.2,0.813,5.5,10.9,0.501,1.5,4.4,0.35,4,1
111,316,427,Kenneth Faried,Morehead State,OVC,2011,-3.13,35,34,34.7,17.3,8.8,5.7,14.5,1.1,1.9,2.3,2.6,3.1,6.7,10.7,0.623,4.0,6.9,0.5770000000000001,6.7,10.7,0.623,0.0,0.0,0.0,4,1
112,319,431,Reggie Jackson,Boston College,ACC,2011,7.31,34,32,34.1,18.2,3.3,1.0,4.3,4.5,1.1,0.5,2.4,1.7,6.4,12.8,0.503,3.2,4.0,0.7959999999999999,4.4,7.8,0.556,2.1,5.0,0.42,3,1
113,323,436,MarShon Brooks,Providence,Big East,2011,6.44,32,31,36.5,24.6,4.8,2.3,7.0,2.5,1.5,1.2,3.1,2.5,8.6,17.8,0.483,5.3,6.8,0.772,6.5,11.7,0.5589999999999999,2.1,6.2,0.34,4,1
114,327,441,JaJuan Johnson,Purdue,Big Ten,2011,8.69,34,33,35.4,20.5,6.1,2.4,8.6,1.0,0.9,2.3,1.6,1.6,7.6,15.3,0.494,5.0,6.1,0.809,7.1,13.8,0.516,0.4,1.5,0.294,4,1
115,331,446,Norris Cole,Cleveland State,Horizon,2011,1.74,36,36,35.7,21.7,5.1,0.8,5.8,5.3,2.2,0.1,2.7,2.4,7.0,15.9,0.439,6.3,7.4,0.853,5.6,11.8,0.473,1.4,4.1,0.342,4,1
116,332,448,Cory Joseph,Texas,Big 12,2011,7.96,36,36,32.4,10.4,2.9,0.6,3.6,3.0,1.0,0.3,1.5,1.8,3.8,8.9,0.422,1.4,2.0,0.6990000000000001,2.3,5.4,0.429,1.4,3.5,0.413,1,1
117,335,452,Jimmy Butler,Marquette,Big East,2011,8.51,37,35,34.6,15.7,3.6,2.4,6.1,2.3,1.4,0.4,1.5,1.3,5.1,10.3,0.49,5.1,6.5,0.7829999999999999,4.5,8.8,0.515,0.5,1.6,0.345,3,1
118,339,457,Justin Harper,Richmond,A-10,2011,2.79,37,37,31.8,17.9,5.2,1.7,6.9,1.2,0.6,1.2,1.5,2.2,6.6,12.4,0.534,2.5,3.2,0.797,4.5,7.8,0.585,2.1,4.6,0.448,4,1
119,343,462,Kyle Singler,Duke,ACC,2011,8.31,37,37,34.8,16.9,4.5,2.4,6.8,1.6,0.9,0.3,1.9,2.6,5.9,13.8,0.43,3.4,4.2,0.8059999999999999,4.2,8.5,0.4970000000000001,1.7,5.2,0.321,4,1
120,346,466,Shelvin Mack,Butler,Horizon,2011,5.02,38,37,32.1,16.0,3.8,0.7,4.5,3.4,0.8,0.1,2.4,1.7,5.3,13.0,0.408,3.2,4.1,0.769,3.0,6.5,0.462,2.3,6.5,0.354,3,1
121,348,469,Tyler Honeycutt,UCLA,Pac-10,2011,7.93,33,33,35.0,12.8,5.7,1.5,7.2,2.8,0.9,2.0,3.0,1.6,4.4,10.8,0.406,2.4,3.2,0.736,2.7,6.2,0.438,1.7,4.6,0.362,2,1
122,350,472,Jordan Williams,Maryland,ACC,2011,5.76,33,33,32.5,16.9,8.1,3.7,11.8,0.6,0.7,1.4,1.6,2.4,6.5,12.0,0.5379999999999999,4.0,6.9,0.575,6.5,12.0,0.5379999999999999,0.0,0.0,0.0,2,1
123,353,476,Trey Thompkins,Georgia,SEC,2011,6.13,30,29,31.2,16.4,5.8,1.9,7.6,1.4,1.1,1.7,2.5,2.2,6.5,13.4,0.481,2.7,4.0,0.6890000000000001,5.7,11.0,0.52,0.8,2.5,0.311,3,1
124,357,481,Chandler Parsons,Florida,SEC,2011,7.57,36,35,34.1,11.3,5.7,2.1,7.8,3.8,0.9,0.4,2.3,1.9,4.3,9.0,0.48,1.5,2.7,0.557,3.1,5.7,0.544,1.2,3.3,0.368,4,1
125,361,486,Jon Leuer,Wisconsin,Big Ten,2011,9.41,34,34,33.5,18.3,5.6,1.7,7.2,1.6,0.5,0.9,1.6,2.2,6.7,14.2,0.47,3.3,3.9,0.843,5.1,9.9,0.513,1.6,4.3,0.37,4,1
126,363,489,Darius Morris,Michigan,Big Ten,2011,10.68,35,34,34.8,15.0,3.1,0.9,4.0,6.7,1.0,0.0,2.9,2.1,5.7,11.7,0.489,3.1,4.3,0.715,5.3,9.9,0.5329999999999999,0.5,1.8,0.25,2,1
127,366,493,Malcolm Lee,UCLA,Pac-10,2011,7.93,33,33,33.1,13.1,2.4,0.7,3.1,2.0,0.7,0.2,1.7,2.4,4.3,9.8,0.4370000000000001,3.4,4.4,0.778,3.1,5.8,0.534,1.2,4.0,0.295,3,1
128,370,498,Charles Jenkins,Hofstra,CAA,2011,0.13,33,33,37.3,22.6,2.8,0.5,3.4,4.8,1.7,0.7,2.2,2.0,7.5,14.6,0.517,5.5,6.7,0.8240000000000001,5.5,9.8,0.563,2.0,4.8,0.42,4,1
129,373,502,Josh Harrellson,Kentucky,SEC,2011,8.91,38,38,28.5,7.6,5.0,3.7,8.7,0.8,0.9,1.5,0.7,2.4,3.3,5.5,0.611,0.9,1.5,0.589,3.3,5.2,0.631,0.1,0.3,0.2,3,1
130,377,507,Andrew Goudelock,College of Charleston,Southern,2011,-1.04,37,37,35.2,23.7,3.2,0.7,3.9,4.2,0.9,0.2,3.2,1.8,8.6,18.9,0.455,3.0,3.6,0.821,5.1,10.2,0.496,3.5,8.7,0.407,4,1
131,380,511,Travis Leslie,Georgia,SEC,2011,6.13,33,33,32.2,14.4,4.0,3.2,7.2,2.9,1.2,0.6,2.2,1.9,5.4,10.9,0.4920000000000001,3.3,4.1,0.8009999999999999,5.0,9.6,0.517,0.4,1.3,0.302,3,1
