,Name,School,Conf,Season,SOS,G,GS,MP,PTS,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,FT,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%
1015,Roy Devyn Marble,Iowa,Big Ten,Career,7.42,136,103,27.6,12.5,2.5,0.9,3.4,2.9,1.3,0.2,1.7,1.6,4.1,10.0,0.415,3.2,4.4,0.726,3.2,7.1,0.447,1.0,2.9,0.338
1020,Jordan McRae,Tennessee,SEC,Career,7.3,114,74,27.1,13.3,2.6,0.7,3.3,1.8,0.6,0.9,2.0,1.9,4.4,10.4,0.417,3.1,4.0,0.769,2.8,5.9,0.475,1.6,4.6,0.343
1025,Xavier Thames,Overall,,Career,4.87,128,95,28.0,10.7,2.1,0.5,2.6,2.8,1.1,0.2,1.6,1.9,3.3,8.4,0.395,3.1,3.8,0.8140000000000001,2.4,5.7,0.418,1.0,2.8,0.348
1030,Cory Jefferson,Baylor,Big 12,Career,8.32,130,76,19.9,8.9,3.7,1.9,5.6,0.4,0.3,1.3,0.8,1.7,3.3,6.1,0.5429999999999999,2.2,3.3,0.66,3.2,5.7,0.556,0.1,0.4,0.34
1032,Karl-Anthony Towns,Kentucky,SEC,Career,8.67,39,39,21.1,10.3,4.3,2.4,6.7,1.1,0.5,2.3,1.4,2.9,3.7,6.6,0.5660000000000001,2.8,3.4,0.813,3.7,6.4,0.5770000000000001,0.1,0.2,0.25
1034,D'Angelo Russell,Ohio State,Big Ten,Career,7.37,35,34,33.9,19.3,4.7,1.0,5.7,5.0,1.6,0.3,2.9,2.1,6.6,14.7,0.449,3.4,4.5,0.7559999999999999,3.9,8.1,0.479,2.7,6.6,0.411
1036,Jahlil Okafor,Duke,ACC,Career,9.87,38,38,30.1,17.3,4.9,3.5,8.5,1.3,0.8,1.4,2.5,2.1,7.3,11.1,0.664,2.6,5.1,0.51,7.3,11.1,0.664,0.0,0.0,0.0
1040,Willie Cauley-Stein,Kentucky,SEC,Career,8.12,105,70,24.5,8.0,3.9,2.4,6.2,0.9,1.1,2.2,1.2,2.3,3.3,5.6,0.593,1.4,2.8,0.508,3.3,5.6,0.593,0.0,0.0,0.0
1042,Stanley Johnson,Arizona,Pac-10,Career,7.41,38,37,28.4,13.8,4.5,2.0,6.5,1.7,1.5,0.4,2.2,2.6,4.6,10.3,0.446,3.5,4.7,0.742,3.4,7.2,0.478,1.1,3.1,0.371
1047,Frank Kaminsky,Wisconsin,Big Ten,Career,9.61,144,79,20.4,10.1,3.4,1.3,4.6,1.3,0.5,1.1,0.8,1.6,3.7,7.0,0.522,2.1,2.7,0.763,3.0,5.1,0.58,0.7,1.9,0.369
1049,Justise Winslow,Duke,ACC,Career,9.87,39,39,29.1,12.6,5.2,1.3,6.5,2.1,1.3,0.9,1.8,2.8,4.4,9.1,0.486,2.6,4.0,0.6409999999999999,3.3,6.3,0.516,1.2,2.8,0.418
1051,Myles Turner,Texas,Big 12,Career,9.07,34,7,22.2,10.1,5.2,1.3,6.5,0.6,0.3,2.6,1.4,2.4,3.4,7.6,0.455,2.8,3.3,0.8390000000000001,2.9,5.7,0.513,0.5,1.8,0.274
1053,Trey Lyles,Kentucky,SEC,Career,8.67,36,21,23.0,8.7,3.4,1.8,5.2,1.1,0.5,0.4,1.1,1.6,3.3,6.7,0.488,2.1,2.8,0.735,3.1,5.9,0.536,0.1,0.8,0.138
