Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Agility,Sprint,drafted
Jimmer Fredette,2011,10,72.75,74.5,76.5,96.5,33,129.5,28,124.5,196,7.7,8,8.5,10.42,3.21,1
Klay Thompson,2011,11,77.75,79.25,81,103.5,31.5,135,26.5,130,206,8,8.75,9.25,10.99,3.24,1
Alec Burks,2011,12,77,78,82,103.5,36,139.5,29,132.5,193,5.1,9,8.25,10.96,3.17,1
Kawhi Leonard,2011,15,78,79,87,106,32,138,25.5,131.5,227,5.4,9.75,11.25,11.45,3.15,1
Nikola Vucevic,2011,16,82.25,83.75,88.5,112.5,25,137.5,23.5,136,260,6.1,9.25,10.25,12.02,3.27,1
Iman Shumpert,2011,17,76.25,77.5,81.5,99.5,42,141.5,36.5,136,222,6.5,9,9,11.1,3.18,1
Chris Singleton,2011,18,79.75,81,85,103.5,37.5,141,30.5,134,230,7.4,9.25,10,11.33,3.09,1
Tobias Harris,2011,19,78.5,79.75,83,103.5,37.5,141,31.5,135,223,8.4,8.75,9,10.96,3.17,1
Derrick Williams,2011,2,79.25,80.75,85.5,108,34.5,142.5,29,137,248,10.8,9,9.75,11.03,3.23,1
Nolan Smith,2011,21,73.5,75.5,77.5,99,34,133,28.5,127.5,188,5.6,8.5,9.25,11.05,3.17,1
Kenneth Faried,2011,22,78,79.5,84,108,35,143,30.5,138.5,225,6.3,8.5,10.25,11.35,3.26,1
Marshon Brooks,2011,25,76.25,77.25,85,101,38.5,139.5,34,135,195,5.2,9,10.5,10.74,3.09,1
Jordan Hamilton,2011,26,78.75,80.5,81.5,104,32,136,25,129,228,9.8,9,9.25,11.47,3.3,1
JaJuan Johnson (Purdue),2011,27,81,82,86,107.5,38,145.5,33.5,141,220,7.5,9,10,11.21,3.14,1
Norris Cole,2011,28,72.25,73.75,74.25,95.5,38.5,134,29.5,125,174,4.7,8.5,9.5,10.07,3.22,1
Cory Joseph,2011,29,74,75.25,77.5,99,35,134,27.5,126.5,186,9.7,8.5,10.5,10.75,3.27,1
Enes Kanter,2011,3,81.75,83.25,85.5,109.5,32.5,142,26,135.5,259,5.9,9.5,10.75,11.3,3.26,1
Jimmy Butler,2011,30,78,79.75,79.5,101.5,39,140.5,32,133.5,222,5.4,9,9,11.92,3.15,1
Justin Harper,2011,32,80,80.75,83.75,106,33,139,28.5,134.5,228,4,9,9.25,11.92,3.3,1
Kyle Singler,2011,33,79.5,80.5,82.1,106,30,136,23,129,228,10,8.25,8.75,11.22,3.21,1
Shelvin Mack,2011,34,73,74.5,79.5,96.5,39,135.5,32,128.5,209,7.1,8.25,9.25,11.23,3.18,1
Tyler Honeycutt,2011,35,78.75,80.25,81,105,37,142,30,135,187,5.3,8.5,9.5,11.68,3.07,1
Jordan Williams,2011,36,79.75,81,84.25,106.5,30.5,137,25,131.5,247,12.1,9.25,10,12.74,3.45,1
Trey Thompkins,2011,37,80.5,81.75,85,107.5,30.5,138,27.5,135,239,15.5,9.25,9.75,11.72,3.41,1
Chandler Parsons,2011,38,80.75,81.75,81.5,104.5,31.5,136,25.5,130,221,7,8.25,10,11.05,3.29,1
Jeremy Tyler,2011,39,81,82.5,89,110.5,33.5,144,28,138.5,262,13.4,9.25,9,11.26,3.29,1
Tristan Thompson,2011,4,79.5,80.75,85.25,108.5,35,143.5,30,138.5,227,6.2,8.75,9.25,10.92,3.26,1
Jon Leuer,2011,40,82,83.5,84,105.5,36.5,142,29.5,135,223,5.4,8.75,9.75,10.82,3.36,1
Darius Morris,2011,41,75.25,77.25,79.5,102,32,134,24.5,126.5,190,5.3,8.75,10,11,3.2,1
Malcolm Lee,2011,43,76,77.5,81.75,101.5,35.5,137,30,131.5,198,5.9,8.5,9.5,11.2,3.09,1
Charles Jenkins,2011,44,73.5,75.25,79.5,96.5,34,130.5,29.5,126,216,4.3,8.5,9,11.68,3.18,1
Andrew Goudelock,2011,46,73.25,74.75,76.25,96.5,37,133.5,32.5,129,198,9.9,8.25,9.25,10.33,3.1,1
Travis Leslie,2011,47,75,76.25,82.5,103,40.5,143.5,33,136,205,8.1,8.75,9.25,11,3.13,1
Keith Benson,2011,48,82,83,87.75,109.5,36,145.5,31.5,141,217,6.1,9.5,11,11.88,3.35,1
Josh Selby,2011,49,73.75,75,77.25,98,42,140,29.5,127.5,195,7.9,8.5,9,11.13,3.2,1
Jon Diebler,2011,51,77.25,78.5,78,99,35,134,28,127,197,8.5,8.25,8.25,10.94,3.37,1
E'Twaun Moore,2011,55,74.5,76,81.5,99.5,34.5,134,32,131.5,191,7.6,9,10,11.12,3.31,1
Isaiah Thomas,2011,60,68.75,70.25,73.75,91.5,40,131.5,31.5,123,186,6.7,8.25,9,10.49,3.14,1
Brandon Knight,2011,8,73.5,75.25,78.75,98.5,37.5,136,29,127.5,177,4.2,8.25,9.5,10.74,3.07,1
Kemba Walker,2011,9,71.5,73,75.5,91.5,39.5,131,32,123.5,184,5.9,8,9,10.87,3.16,1
David Lighty,2011,99,76.75,78.5,80,101,33,134,28.5,129.5,216,6.5,9,10,10.81,3.25,0
Demetri McCamey,2011,99,73.75,75.25,78.25,99.5,33,132.5,27,126.5,204,6.1,8.5,9,11.55,3.19,0
Greg Smith,2011,99,80,81.25,86.5,106.5,36,142.5,29.5,136,253,7.4,9.75,12,12.43,3.36,0
Jamie Skeen,2011,99,78.5,80,85.25,106.5,30.5,137,26,132.5,242,9.8,8.5,8.5,12.43,3.46,0
Jereme Richmond,2011,99,78,79.25,82.25,106.5,33.5,140,27,133.5,207,5.5,8.75,9.5,11.74,3.02,0
LaceDarius Dunn,2011,99,75,76,78.25,101,31,132,26.5,127.5,188,5.5,9,10.25,11.45,3.27,0
Malcolm Thomas,2011,99,79.5,80.75,84.5,107.5,36.5,144,32,139.5,223,5.9,9.5,10.5,11.31,3.29,0
Michael Dunigan,2011,99,80.5,82,87.25,107.5,34.5,142,29.5,137,238,8,9,10.75,11.85,3.27,0
Rick Jackson,2011,99,80.25,81.25,86,106.5,33,139.5,28.5,135,242,8.3,8.75,9.5,11.51,3.26,0
Scotty Hopson,2011,99,77.75,78.5,82.5,103.5,36,139.5,32.5,136,205,4.8,8.5,10,10.47,3.18,0
Austin Rivers,2012,10,75.5,77,79.25,96.5,37.5,134,32.5,129,203,6.2,8.5,10,11.54,3.32,1
Meyers Leonard,2012,11,83.75,85.25,87,108,32.5,140.5,30,138,250,5.7,9.25,11,11.34,3.41,1
Jeremy Lamb,2012,12,76,77.25,83,102,38,140,31.5,133.5,179,4.5,8.75,9.25,10.98,3.25,1
Kendall Marshall,2012,13,75.25,76.25,77.5,96,37,133,31,127,198,7.8,8.5,9,12.03,3.23,1
