Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Weight,Body Fat,Hand (Length),Hand (Width),drafted,athletic
Kyle Singler,2011,33,79.5,80.5,82.1,106,228,10,8.25,8.75,1,1
Shelvin Mack,2011,34,73,74.5,79.5,96.5,209,7.1,8.25,9.25,1,1
Tyler Honeycutt,2011,35,78.75,80.25,81,105,187,5.3,8.5,9.5,1,1
Jordan Williams,2011,36,79.75,81,84.25,106.5,247,12.1,9.25,10,1,1
Trey Thompkins,2011,37,80.5,81.75,85,107.5,239,15.5,9.25,9.75,1,1
Chandler Parsons,2011,38,80.75,81.75,81.5,104.5,221,7,8.25,10,1,1
Jeremy Tyler,2011,39,81,82.5,89,110.5,262,13.4,9.25,9,1,1
Tristan Thompson,2011,4,79.5,80.75,85.25,108.5,227,6.2,8.75,9.25,1,1
Jon Leuer,2011,40,82,83.5,84,105.5,223,5.4,8.75,9.75,1,1
Darius Morris,2011,41,75.25,77.25,79.5,102,190,5.3,8.75,10,1,1
Malcolm Lee,2011,43,76,77.5,81.75,101.5,198,5.9,8.5,9.5,1,1
Charles Jenkins,2011,44,73.5,75.25,79.5,96.5,216,4.3,8.5,9,1,1
Andrew Goudelock,2011,46,73.25,74.75,76.25,96.5,198,9.9,8.25,9.25,1,1
Travis Leslie,2011,47,75,76.25,82.5,103,205,8.1,8.75,9.25,1,1
Keith Benson,2011,48,82,83,87.75,109.5,217,6.1,9.5,11,1,1
Josh Selby,2011,49,73.75,75,77.25,98,195,7.9,8.5,9,1,1
Jon Diebler,2011,51,77.25,78.5,78,99,197,8.5,8.25,8.25,1,1
DeAndre Liggins,2011,53,77,78.25,83,103.5,202,5,8.75,10,1,0
E'Twaun Moore,2011,55,74.5,76,81.5,99.5,191,7.6,9,10,1,1
Isaiah Thomas,2011,60,68.75,70.25,73.75,91.5,186,6.7,8.25,9,1,1
Brandon Knight,2011,8,73.5,75.25,78.75,98.5,177,4.2,8.25,9.5,1,1
Kemba Walker,2011,9,71.5,73,75.5,91.5,184,5.9,8,9,1,1
David Lighty,2011,99,76.75,78.5,80,101,216,6.5,9,10,0,1
Demetri McCamey,2011,99,73.75,75.25,78.25,99.5,204,6.1,8.5,9,0,1
Greg Smith,2011,99,80,81.25,86.5,106.5,253,7.4,9.75,12,0,1
Jamie Skeen,2011,99,78.5,80,85.25,106.5,242,9.8,8.5,8.5,0,1
Jereme Richmond,2011,99,78,79.25,82.25,106.5,207,5.5,8.75,9.5,0,1
LaceDarius Dunn,2011,99,75,76,78.25,101,188,5.5,9,10.25,0,1
Malcolm Thomas,2011,99,79.5,80.75,84.5,107.5,223,5.9,9.5,10.5,0,1
Michael Dunigan,2011,99,80.5,82,87.25,107.5,238,8,9,10.75,0,1
Rick Jackson,2011,99,80.25,81.25,86,106.5,242,8.3,8.75,9.5,0,1
Scotty Hopson,2011,99,77.75,78.5,82.5,103.5,205,4.8,8.5,10,0,1
Anthony Davis,2012,1,81.25,82.5,89.5,108,222,7.9,9,8.5,1,0
Austin Rivers,2012,10,75.5,77,79.25,96.5,203,6.2,8.5,10,1,1
Meyers Leonard,2012,11,83.75,85.25,87,108,250,5.7,9.25,11,1,1
Jeremy Lamb,2012,12,76,77.25,83,102,179,4.5,8.75,9.25,1,1
Kendall Marshall,2012,13,75.25,76.25,77.5,96,198,7.8,8.5,9,1,1
John Henson,2012,14,81,82.5,89,112,216,8.6,9.25,10,1,0
Moe Harkless,2012,15,79.25,80.75,84,102.5,207,5.3,9.25,10.25,1,1
Royce White,2012,16,79,80,84,104.5,261,10.6,9.5,11.5,1,0
Tyler Zeller,2012,17,83.25,84.5,84,104.5,247,6.4,9,9.75,1,1
Terrence Jones,2012,18,80.25,81.5,86.25,107,252,7.7,9,10,1,1
Andrew Nicholson,2012,19,80.5,81.5,88,107,234,7.6,10,10.75,1,1
Michael Kidd-Gilchrist,2012,2,77.75,79.5,84,104.5,233,7,9,10.25,1,1
Jared Sullinger,2012,21,79.75,81,85.25,105.5,268,10.7,9.25,9.75,1,1
Fab Melo,2012,22,82.75,84,86.5,110,255,9.2,9,10,1,1
John Jenkins,2012,23,75.25,76.25,80.5,98,212,7.1,9,9,1,1
Jared Cunningham,2012,24,75.5,77,78.5,98,188,3.6,8.25,9,1,0
Tony Wroten,2012,25,76.75,78,81,101,203,5.2,8,9,1,1
Miles Plumlee,2012,26,82.5,83.75,84.75,105.5,252,11.4,9.25,9,1,1
Arnett Moultrie,2012,27,81.5,82.75,86.25,106.5,233,7.7,9.25,9.25,1,1
Perry Jones,2012,28,82.25,83.25,85.75,107,234,4.6,9.25,9.5,1,1
Marquis Teague,2012,29,73,74,79.25,96.5,180,6.3,8.25,7.75,1,1
Bradley Beal,2012,3,75.25,76.75,80,100,202,6,8.5,9,1,1
Festus Ezeli,2012,30,81.75,83.5,89.75,108,264,5.5,9,10.75,1,1
Jeff Taylor,2012,31,78,79.25,78.25,101.5,213,4.2,8.25,9.75,1,1
Tomas Satoransky,2012,32,78.5,79.5,79.25,100,201,5.2,8.5,9.5,1,0
Bernard James,2012,33,80.75,82,87,108.5,230,5,9,9.25,1,1
Jae Crowder,2012,34,76.75,78.5,81.25,99.5,241,9,9.5,10.5,1,1
Draymond Green,2012,35,77.75,79.5,85.25,105,236,11.3,9,9.5,1,1
Orlando Johnson,2012,36,75.75,77.25,83.25,99,224,7,9,9.5,1,1
Quincy Acy,2012,37,78.5,79.75,86.75,106.5,224,7.1,9.5,11,1,1
Quincy Miller,2012,38,80.75,82,85.25,105,219,7.8,9.25,10.25,1,1
Khris Middleton,2012,39,78.75,80.25,82.75,103,216,7.8,9,9,1,1
Dion Waiters,2012,4,74.5,76,79.25,98,221,8.5,8.5,9.5,1,0
Will Barton,2012,40,77,78,81.75,102.5,174,4.1,9,9.5,1,1
Tyshawn Taylor,2012,41,74.75,76,78.25,97.5,177,4.2,8.75,8.75,1,1
Doron Lamb,2012,42,75.25,76.75,78.75,98.5,199,6.7,8.5,8.75,1,1
Mike Scott,2012,43,79.25,80.75,82.75,104,241,10.6,8.5,9,1,1
Kim English,2012,44,76.5,77.75,78.5,98,192,4.3,8.5,8.75,1,1
Darius Miller,2012,46,78,79.5,81,101,233,7.5,8.5,8.75,1,1
Kevin Murphy,2012,47,77,78.25,78.75,99,194,5.8,8.5,8.5,1,1
Kyle O'Quinn,2012,49,80.5,82,88.75,106.5,241,8,9.5,10,1,1
Thomas Robinson,2012,5,79.75,80.75,87.25,106,244,5,9.75,10.5,1,1
Kris Joseph,2012,51,78,79,83,104,215,8.6,9,9,1,0
Darius Johnson-Odom,2012,55,73.5,75,79,96,212,7,8.75,8.75,1,1
