Name,School,Conf,Season,SOS,G,GS,MP,PTS,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,FT,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%,EFG%,year,last
Elliot Williams,Memphis,CUSA,2010,3.65,34,34,33.3,17.9,3.2,0.7,4,3.8,1.3,0.1,2.9,2,5.2,11.4,0.459,5.7,7.5,0.758,3.5,6.6,0.527,1.8,4.8,0.366,0.5350877192982456,2,1
Trevor Booker,Clemson,ACC,2010,7.9,32,32,30.8,15.2,5.6,2.8,8.4,2.5,1.3,1.4,1.9,2,5.9,11.3,0.521,3.2,5.3,0.591,5.6,10.2,0.547,0.3,1.1,0.265,0.5353982300884956,4,1
Damion James,Texas,Big 12,2010,7.38,34,34,30.3,18,7.1,3.1,10.3,1,1.7,1.2,2,2.9,6.2,12.3,0.501,4.6,6.8,0.674,5.1,9.6,0.535,1.1,2.8,0.383,0.548780487804878,4,1
Dominique Jones,South Florida,Big East,2010,7.21,33,33,37.1,21.4,5,1.1,6.1,3.6,1.7,0.6,2.9,2.8,6.7,14.9,0.45,6.3,8.5,0.741,5.2,9.9,0.521,1.6,5.1,0.311,0.5033557046979865,3,1
Quincy Pondexter,Washington,Pac-10,2010,7.49,36,36,32.3,19.3,4.4,3,7.4,1.8,1.3,0.6,1.9,2.5,6.8,12.9,0.528,5.2,6.3,0.8270000000000001,6.3,11.5,0.55,0.5,1.4,0.353,0.5465116279069767,4,1
Jordan Crawford,Xavier,A-10,2010,5.94,35,34,32.8,20.5,3.8,1,4.7,2.9,1.3,0.2,2.4,1.6,7.4,16.1,0.462,3.4,4.4,0.773,5.2,10.3,0.501,2.3,5.8,0.391,0.531055900621118,2,1
Greivis Vasquez,Maryland,ACC,2010,7.95,33,32,33.9,19.6,3.5,1.2,4.6,6.3,1.7,0.4,3.4,2.1,6.7,15.5,0.429,4.2,4.9,0.857,4.6,9.7,0.47,2.1,5.8,0.359,0.5,4,1
Daniel Orton,Kentucky,SEC,2010,6.82,38,0,13.2,3.4,2.1,1.2,3.3,0.4,0.6,1.4,1,2.3,1.3,2.4,0.527,0.9,1.7,0.524,1.3,2.3,0.539,0,0.1,0,0.5416666666666667,1,1
Lazar Hayward,Marquette,Big East,2010,8.23,34,34,32.3,18.1,5.4,2.1,7.5,1.5,1.9,0.5,2,3.4,6.5,15.1,0.4320000000000001,3.1,3.7,0.843,4.6,9.6,0.479,1.9,5.5,0.349,0.49337748344370863,4,1
Dexter Pittman,Texas,Big 12,2010,7.38,34,34,19.1,10.4,2.9,3,5.9,0.5,0.4,1.9,1.8,2.6,4.1,6.3,0.654,2.2,4,0.556,4.1,6.3,0.654,0,0,0,0.6507936507936507,4,1
Hassan Whiteside,Marshall,CUSA,2010,1.57,34,23,26.1,13.1,6.2,2.7,8.9,0.3,0.6,5.4,1.9,2.4,4.9,9.4,0.524,3.2,5.5,0.588,4.8,9.2,0.522,0.1,0.1,0.6,0.526595744680851,1,1
Armon Johnson,Nevada,WAC,2010,2.56,34,34,34.5,15.7,2.6,0.8,3.4,5.6,0.8,0.4,3.4,1.8,6.4,13,0.495,2.4,3.5,0.6779999999999999,5.9,10.9,0.544,0.5,2.1,0.239,0.5115384615384616,3,1
Terrico White,Ole Miss,SEC,2010,5.77,35,34,31.5,15.1,3,1.6,4.6,1.5,0.9,0.2,1.3,1.8,5.5,12.8,0.43,2.4,3.4,0.7140000000000001,3.7,7.7,0.489,1.7,5.1,0.341,0.49609374999999994,2,1
Darington Hobson,New Mexico,MWC,2010,3.84,35,35,33.6,15.9,7.1,2.1,9.3,4.6,1.3,0.4,3,1.9,5.5,12.5,0.44,3.7,5.7,0.653,4.4,9.5,0.465,1.1,3.1,0.361,0.484,1,1
Andy Rautins,Syracuse,Big East,2010,7.21,35,35,32.5,12.1,2.9,0.5,3.4,4.9,2,0.2,2.8,2.2,3.7,8.5,0.438,1.9,2.3,0.815,0.9,1.6,0.5710000000000001,2.8,6.9,0.407,0.6,4,1
Landry Fields,Stanford,Pac-10,2010,6.5,32,32,36.3,22,6.2,2.5,8.8,2.8,1.6,0.8,2.6,2,7.8,15.8,0.49,5.6,8,0.696,6.8,13.1,0.521,0.9,2.7,0.337,0.5221518987341772,4,1
Lance Stephenson,Cincinnati,Big East,2010,8.45,34,32,28.2,12.3,3.5,1.9,5.4,2.5,0.9,0.2,2.4,1.9,4.8,10.8,0.44,2.3,3.5,0.664,4.3,8.7,0.495,0.5,2.1,0.219,0.46759259259259256,1,1
Jarvis Varnado,Mississippi State,SEC,2010,4.6,36,36,31.7,13.8,7.3,3,10.3,0.9,0.7,4.7,2,2.4,5.1,8.8,0.5820000000000001,3.6,5.8,0.61,5.1,8.8,0.5820000000000001,0,0,0,0.5795454545454545,4,1
Da'Sean Butler,West Virginia,Big East,2010,10.26,38,38,35.8,17.2,4.6,1.6,6.2,3.1,1,0.4,1.8,2.2,5.5,13.2,0.414,4.4,5.6,0.789,3.6,8,0.452,1.8,5.2,0.354,0.4848484848484849,4,1
Devin Ebanks,West Virginia,Big East,2010,10.26,34,31,34.1,12,5.2,2.9,8.1,2.4,1.1,0.7,2.2,1.6,4.2,9.3,0.457,3.4,4.5,0.77,4.1,8.4,0.495,0.1,0.9,0.1,0.45698924731182794,2,1
Jerome Jordan,Tulsa,CUSA,2010,2.84,35,35,29.8,15.4,6.7,2.4,9.1,1.3,0.5,2.3,2.3,2.8,5.3,9.6,0.5489999999999999,4.9,7.1,0.688,5.3,9.6,0.5489999999999999,0,0,0,0.5520833333333334,4,1
Gani Lawal,Georgia Tech,ACC,2010,9.02,36,36,25.8,13.1,5.6,2.9,8.5,0.4,0.4,1.4,2.2,2.1,4.8,9,0.529,3.5,6.2,0.5720000000000001,4.8,9,0.531,0,0,0,0.5333333333333333,3,1
Tiny Gallon,Oklahoma,Big 12,2010,7.79,30,21,24,10.3,5.2,2.8,7.9,0.8,0.7,0.8,2.3,2.8,4.1,7.4,0.547,2.1,3,0.6970000000000001,3.9,6.9,0.573,0.1,0.6,0.235,0.5608108108108107,1,1
Solomon Alabi,Florida State,ACC,2010,6.79,32,32,25.6,11.7,3.7,2.5,6.2,0.5,0.6,2.3,1.9,2.3,4.2,7.8,0.534,3.4,4.3,0.794,4.2,7.8,0.534,0,0,0,0.5384615384615385,3,1
Magnum Rolle,Louisiana Tech,WAC,2010,-0.4,34,33,30.1,13.9,4.9,3.5,8.4,0.8,0.8,2.1,2,2.8,5.6,10.8,0.514,2.7,4.1,0.66,5.6,10.8,0.514,0,0,0,0.5185185185185185,4,1
Luke Harangody,Notre Dame,Big East,2010,6.22,30,25,33,21.8,6.9,2.2,9.1,1.6,0.5,0.7,1.8,2.3,8.1,16.9,0.481,4.7,5.9,0.787,7.3,14.2,0.514,0.8,2.7,0.309,0.5029585798816568,4,1
Willie Warren,Oklahoma,Big 12,2010,7.79,21,19,32.3,16.3,2.6,0.7,3.3,4.1,1,0,3.8,2.3,5,11.5,0.438,4.8,6,0.795,3.6,6.9,0.524,1.4,4.6,0.309,0.4956521739130435,2,1
Jeremy Evans,Western Kentucky,Sun Belt,2010,-2.18,34,34,26.5,10,3.9,3,6.9,0.7,0.8,1.8,1.1,2.9,4,6.2,0.649,1.9,2.7,0.688,3.9,5.9,0.6729999999999999,0.1,0.4,0.25,0.6532258064516129,4,1
Hamady N'Diaye,Rutgers,Big East,2010,5.91,32,25,28.3,9.4,4.8,2.4,7.1,0.4,0.4,4.5,1.5,2.9,3.6,6.2,0.579,2.3,3.8,0.617,3.6,6.2,0.579,0,0,0,0.5806451612903226,4,1
Ryan Reid,Florida State,ACC,2010,6.79,31,29,22.7,6.8,2.1,1.9,4,1.1,0.6,0.5,1.6,1.5,2.6,5.4,0.491,1.5,2.5,0.597,2.6,5.4,0.491,0,0,0,0.48148148148148145,4,1
